,Rating,Year,Genre
229,7.9,2016,Rock
230,7.6,2016,Jazz
231,7.7,2016,Electronic
232,8.0,2016,Metal
233,7.8,2016,Rap
234,8.9,2016,Experimental
235,7.0,2016,Rock
236,7.0,2016,Experimental
237,7.4,2016,Rap
238,7.4,2016,Electronic
239,8.0,2016,Rock
240,8.1,2016,Rock
241,7.1,2016,Electronic
242,7.6,2016,Jazz
243,7.6,2016,Experimental
244,8.4,2016,Experimental
245,6.8,2016,Rap
246,7.7,2016,Metal
247,7.8,2016,Rock
248,9.0,2016,Rock
249,7.4,2016,Electronic
250,7.1,2016,Rock
251,5.9,2016,Global
252,5.9,2016,Pop/R&B
253,7.5,2016,Experimental
254,8.0,2016,Rock
255,4.6,2016,Experimental
256,6.5,2016,Electronic
257,7.5,2016,Folk/Country
258,7.4,2016,Experimental
259,7.0,2016,Rock
260,4.4,2016,Rap
261,8.0,2016,Folk/Country
262,7.0,2016,Rock
263,8.1,2016,Rock
264,7.4,2016,Electronic
265,7.3,2016,Folk/Country
266,7.3,2016,Electronic
267,7.2,2016,Rap
268,8.2,2016,Rock
269,7.1,2016,Pop/R&B
270,6.8,2016,Pop/R&B
271,8.1,2016,Rap
272,7.0,2016,Electronic
273,6.0,2016,Electronic
274,7.9,2016,Electronic
275,7.8,2016,Rock
276,5.3,2016,Rap
277,6.4,2016,Rap
278,7.5,2016,Rock
279,6.2,2016,Rock
280,8.8,2016,Rock
281,8.8,2016,Folk/Country
282,7.3,2016,Rock
283,7.3,2016,Electronic
284,8.0,2016,Electronic
285,8.7,2016,Experimental
286,8.5,2016,Rap
287,8.6,2002,Rock
288,8.6,2002,Pop/R&B
289,6.6,2016,Rock
290,6.6,2016,Experimental
291,6.6,2016,Electronic
292,2.0,2016,Rock
293,2.0,2016,Rap
294,5.3,2016,Rock
295,5.6,2016,Electronic
296,7.3,2016,Rock
297,7.3,2016,Experimental
298,8.0,2016,Rap
299,6.8,2016,Electronic
300,7.5,2016,Rock
301,7.5,2016,Folk/Country
302,8.1,2016,Folk/Country
303,6.5,2016,Rap
304,8.2,2016,Rock
305,8.0,2016,Electronic
306,6.7,2016,Rock
307,7.4,2016,Experimental
308,5.9,2016,Pop/R&B
309,6.5,2016,Rap
310,7.4,2016,Electronic
311,6.3,2016,Folk/Country
312,9.0,2016,Pop/R&B
313,7.6,2016,Experimental
314,7.5,2016,Experimental
315,6.3,2016,Rap
316,5.0,2016,Rock
317,7.6,2016,Electronic
318,7.0,2016,Pop/R&B
319,7.7,2016,Rap
320,6.8,2016,Rock
321,7.8,2016,Experimental
322,7.9,2016,Rock
323,8.0,2016,Electronic
324,6.8,2016,Rock
325,8.1,2016,Global
326,8.1,2016,Jazz
327,8.1,2016,Rap
328,8.0,2016,Rap
329,7.2,2016,Rock
330,7.2,2016,Electronic
331,8.0,2016,Experimental
332,5.0,2016,Rock
333,6.9,2016,Electronic
334,6.4,2016,Rock
335,7.6,2016,Rock
336,5.6,2016,Rap
337,8.0,2016,Rock
338,5.6,2016,Rock
339,8.0,2016,Electronic
340,6.4,2016,Rap
341,8.0,2016,Electronic
342,7.8,2016,Rock
343,7.4,2016,Pop/R&B
344,7.9,2016,Rock
345,8.1,2016,Rock
346,6.0,2016,Rap
347,7.6,2016,Rap
348,7.4,2016,Rock
349,7.0,2016,Electronic
350,7.7,2016,Rap
351,6.5,2016,Folk/Country
352,7.2,2016,Electronic
353,7.5,2016,Rock
354,6.8,2016,Electronic
355,6.0,2016,Electronic
356,7.0,2016,Rap
357,6.3,2016,Rock
358,5.3,2016,Electronic
359,7.0,2016,Rock
360,6.8,2016,Electronic
361,6.5,2016,Pop/R&B
362,7.8,2016,Electronic
363,4.8,2016,Electronic
364,6.7,2016,Electronic
365,6.5,2016,Pop/R&B
366,6.5,2016,Electronic
367,6.8,2016,Rock
368,8.0,2016,Rap
369,7.9,2016,Electronic
370,8.3,2016,Experimental
371,8.0,2016,Rap
372,7.6,2016,Jazz
373,7.6,2016,Experimental
374,7.0,2016,Metal
375,6.9,2016,Rap
376,6.9,2016,Pop/R&B
377,6.0,2016,Rap
378,6.0,2016,Electronic
379,8.0,2016,Electronic
380,7.3,2016,Rock
381,7.3,2016,Metal
382,6.9,2016,Rap
383,6.8,2016,Folk/Country
384,6.8,2016,Rock
385,7.5,2016,Rock
386,7.7,2016,Electronic
387,7.9,2016,Pop/R&B
388,2.5,2016,Electronic
389,8.2,2016,Electronic
390,7.2,2016,Rock
391,7.0,2016,Rock
392,8.0,2016,Experimental
393,8.3,2016,Electronic
394,6.9,2016,Experimental
395,6.8,2016,Rock
396,6.4,2016,Metal
397,8.4,2016,Global
398,5.8,2016,Experimental
399,6.3,2016,Electronic
400,6.8,2016,Global
401,7.8,2016,Pop/R&B
402,7.7,2016,Rap
403,7.6,2016,Folk/Country
404,8.0,2016,Electronic
405,6.1,2016,Rap
406,7.5,2016,Rock
407,7.5,2016,Metal
408,7.0,2016,Electronic
409,7.8,2016,Metal
410,7.0,2016,Rap
411,7.1,2016,Rap
412,7.6,2016,Rock
413,7.6,2016,Metal
414,5.8,2016,Rap
415,7.2,2016,Rap
416,6.9,2016,Pop/R&B
417,8.2,2016,Rock
418,7.0,2016,Rap
419,7.5,2016,Rock
420,7.0,2016,Rock
421,6.8,2016,Pop/R&B
422,7.3,2016,Electronic
423,7.2,2016,Rap
424,7.4,2016,Rock
425,7.4,2016,Experimental
426,7.4,2016,Electronic
427,8.4,2016,Pop/R&B
428,7.7,2016,Rap
429,8.0,2016,Global
430,7.9,2016,Rock
431,8.2,2016,Experimental
432,6.2,2016,Pop/R&B
433,6.5,2016,Rap
434,8.0,2016,Metal
435,7.1,2016,Jazz
436,6.5,2016,Rock
437,6.5,2016,Electronic
438,8.0,2016,Rock
439,8.0,2016,Electronic
440,6.9,2016,Experimental
441,6.9,2016,Rap
442,8.2,2016,Experimental
443,8.0,2016,Rock
444,7.2,2016,Electronic
445,7.4,2016,Electronic
446,6.5,2016,Rap
447,8.0,2016,Electronic
448,7.7,2016,Pop/R&B
449,6.8,2016,Rock
450,3.5,2016,Experimental
451,7.5,2016,Electronic
452,8.3,2016,Rap
453,6.8,2016,Electronic
454,7.8,2016,Experimental
455,8.1,2016,Experimental
456,8.1,2016,Electronic
457,7.7,2016,Electronic
458,7.3,2016,Rock
459,6.9,2016,Electronic
460,8.4,2016,Pop/R&B
461,7.6,2016,Experimental
462,7.0,2016,Experimental
463,5.3,2016,Metal
464,8.5,2016,Rock
465,8.5,2016,Global
466,7.8,2016,Pop/R&B
467,6.1,2016,Electronic
468,7.4,2016,Rock
469,6.0,2016,Rap
470,7.2,2016,Pop/R&B
471,7.8,2016,Folk/Country
472,7.9,2016,Folk/Country
473,7.1,2016,Electronic
474,8.5,2016,Electronic
475,7.8,2016,Electronic
476,6.3,2016,Pop/R&B
477,6.3,2016,Experimental
478,7.6,2016,Jazz
479,7.6,2016,Metal
480,8.2,2016,Electronic
481,8.0,2016,Metal
482,6.3,2016,Rap
483,5.1,2016,Rock
484,5.1,2016,Electronic
485,5.5,2016,Rock
486,3.5,2016,Pop/R&B
487,6.8,2016,Pop/R&B
488,7.6,2016,Rock
489,7.6,2016,Electronic
490,7.3,2016,Rock
491,7.5,2016,Rock
492,7.0,2016,Rock
493,4.7,2016,Rap
494,6.6,2016,Rock
495,7.4,2016,Rock
496,7.6,2016,Experimental
497,6.8,2016,Rap
498,5.0,2016,Electronic
499,7.5,2016,Experimental
500,8.8,2016,Pop/R&B
501,7.3,2016,Pop/R&B
502,7.1,2016,Experimental
503,6.9,2016,Rock
504,6.9,2016,Experimental
505,7.4,2016,Folk/Country
506,8.5,2016,Rock
507,7.4,2016,Rock
508,7.4,2016,Metal
509,5.2,2016,Rock
510,5.8,2016,Electronic
511,3.8,2016,Rock
512,5.0,2016,Rock
513,5.0,2016,Electronic
514,7.4,2016,Pop/R&B
515,6.6,2016,Electronic
516,7.2,2016,Jazz
517,8.5,2016,Rock
518,7.8,2016,Pop/R&B
519,6.4,2016,Experimental
520,6.0,2016,Electronic
521,8.0,2016,Rock
522,7.8,2016,Electronic
523,5.6,2016,Rock
524,8.5,2016,Rock
525,5.9,2016,Rap
526,7.5,2016,Folk/Country
527,7.0,2016,Rock
528,8.1,2016,Rock
529,8.0,2016,Rap
530,6.9,2016,Electronic
531,6.5,2016,Pop/R&B
532,5.4,2016,Rock
533,5.0,2016,Electronic
534,6.7,2016,Rock
535,8.0,2016,Electronic
536,8.2,2016,Rock
537,6.5,2016,Rock
538,7.2,2016,Rap
539,7.8,2016,Metal
540,6.5,2016,Rock
541,3.0,2016,Pop/R&B
542,6.1,2016,Electronic
543,8.8,2016,Rock
544,6.3,2016,Pop/R&B
545,6.2,2016,Rock
546,6.2,2016,Electronic
547,6.8,2016,Experimental
548,7.2,2011,Rock
549,6.9,2016,Electronic
550,6.8,2016,Rap
551,6.4,2016,Rock
552,6.0,2016,Rock
553,5.7,2016,Rock
554,5.7,2016,Electronic
555,6.9,2016,Experimental
556,7.7,2016,Jazz
557,5.6,2016,Electronic
558,8.1,2016,Electronic
559,6.5,2016,Electronic
560,7.8,2016,Metal
561,7.1,2016,Rock
562,7.1,2016,Pop/R&B
563,7.1,2016,Electronic
564,5.7,2016,Rock
565,5.7,2016,Electronic
566,6.7,2016,Rock
567,7.0,2016,Rock
568,7.2,2016,Rock
569,6.8,2016,Electronic
570,7.7,2016,Rock
571,7.5,2016,Rap
572,7.2,2016,Rock
573,5.7,2016,Rock
574,5.7,2016,Electronic
575,7.1,2016,Rock
576,6.0,2016,Rock
577,6.0,2016,Rock
578,6.2,2016,Rock
579,6.2,2016,Electronic
580,7.6,2016,Electronic
581,8.1,2016,Metal
582,8.3,2016,Rock
583,7.7,2016,Rock
584,5.5,2016,Rock
585,5.5,2016,Metal
586,5.9,2016,Rock
587,8.0,2016,Rap
588,8.5,2016,Rap
589,8.0,2016,Folk/Country
590,8.2,2016,Rap
591,6.2,2016,Pop/R&B
592,7.7,2016,Pop/R&B
593,6.4,2016,Electronic
594,8.0,2016,Folk/Country
595,5.0,2016,Rap
596,7.9,2016,Rock
597,5.5,2016,Rock
598,6.6,2016,Electronic
599,6.0,2016,Electronic
600,7.6,2016,Rock
601,7.4,2016,Rap
602,7.6,2016,Rock
603,6.0,2016,Rock
604,6.9,2016,Rock
605,7.1,2016,Folk/Country
606,7.5,2016,Pop/R&B
607,7.8,2016,Rock
608,7.9,2016,Electronic
609,7.4,2016,Electronic
610,7.0,2016,Electronic
611,7.4,2016,Jazz
612,7.7,2016,Electronic
613,7.5,2016,Experimental
614,8.0,2016,Rock
615,5.3,2016,Rap
616,8.1,2016,Global
617,7.0,2016,Rock
618,7.4,2016,Rock
619,6.0,2016,Rock
620,7.6,2016,Pop/R&B
621,7.4,2016,Electronic
622,6.5,2016,Rock
623,7.7,2016,Pop/R&B
624,7.0,2016,Rock
625,6.4,2016,Rock
626,8.0,2016,Electronic
627,7.6,2016,Experimental
628,6.6,2016,Rock
629,7.5,2016,Electronic
630,7.6,2016,Folk/Country
631,5.1,2016,Rock
632,7.9,2016,Rock
633,7.8,2016,Jazz
634,8.5,2016,Rock
635,5.2,2016,Rap
636,6.9,2016,Rock
637,6.5,2016,Rock
638,6.5,2016,Folk/Country
639,7.0,2016,Folk/Country
640,7.3,2016,Electronic
641,6.5,2016,Pop/R&B
642,7.9,2016,Electronic
643,8.0,2016,Rock
644,8.2,2016,Rock
645,6.7,2016,Pop/R&B
646,6.7,2016,Electronic
647,9.1,2016,Rap
648,7.2,2016,Rock
649,6.9,2016,Electronic
650,6.9,2009,Rock
651,8.4,2016,Jazz
652,7.7,2016,Rock
653,8.0,2016,Metal
654,6.8,2016,Rock
655,7.3,2016,Rock
656,7.8,2016,Electronic
657,7.6,2016,Pop/R&B
658,7.9,2016,Rock
659,8.0,2016,Electronic
660,7.6,2016,Electronic
661,7.2,2016,Rock
662,7.4,2016,Global
663,8.1,2016,Rap
664,8.1,2016,Experimental
665,4.9,2016,Electronic
666,7.2,2016,Electronic
667,6.8,2016,Rock
668,9.1,2016,Rock
669,7.8,2016,Rock
670,6.7,2016,Jazz
671,6.8,2016,Folk/Country
672,8.2,2016,Pop/R&B
673,8.2,2016,Electronic
674,7.5,2016,Folk/Country
675,6.7,2016,Rap
676,7.0,2016,Rock
677,8.2,2016,Electronic
678,7.8,2016,Electronic
679,6.6,2016,Rap
680,8.3,2016,Jazz
681,5.0,2016,Rock
682,6.0,2016,Rock
683,8.4,2016,Rock
684,8.2,2016,Metal
685,4.7,2016,Pop/R&B
686,4.7,2016,Electronic
687,9.0,2016,Pop/R&B
688,9.0,2016,Experimental
689,6.5,2016,Rock
690,8.2,2016,Rap
691,8.0,2016,Electronic
692,7.5,2016,Rock
693,7.0,2016,Rock
694,7.0,2016,Electronic
695,7.0,2016,Rock
696,7.0,2016,Electronic
697,7.2,2016,Rap
698,6.8,2016,Rap
699,6.9,2016,Pop/R&B
700,7.6,2016,Experimental
701,7.0,2016,Rock
702,7.5,2016,Rap
703,7.8,2016,Rap
704,7.9,2016,Experimental
705,8.0,2016,Rock
706,8.0,2016,Experimental
707,8.0,2016,Electronic
708,7.6,2016,Rock
709,7.6,2016,Experimental
710,6.4,2016,Electronic
711,7.1,2016,Rap
712,8.5,2016,Pop/R&B
713,7.3,2016,Rap
714,6.2,2016,Rock
715,6.9,2016,Rap
716,7.1,2016,Electronic
717,8.1,2016,Rock
718,5.7,2016,Rock
719,5.7,2016,Experimental
720,5.6,2016,Experimental
721,6.8,2016,Rap
722,6.8,2016,Pop/R&B
723,6.8,2016,Rock
724,9.1,2006,Rock
725,6.8,2016,Global
726,6.8,2016,Electronic
727,8.0,2016,Metal
728,6.6,2016,Rock
729,5.9,2016,Rock
730,7.0,2016,Rock
731,7.9,2016,Electronic
732,6.9,2016,Rap
733,6.8,2016,Electronic
734,8.0,2016,Folk/Country
735,7.6,2016,Rock
736,6.7,2016,Experimental
737,6.0,2016,Experimental
738,6.0,2016,Electronic
739,7.6,2016,Rock
740,7.6,2016,Experimental
741,7.5,2016,Rock
742,6.9,2016,Rock
743,7.0,2016,Rap
744,6.8,2016,Rap
745,8.3,2016,Rock
746,7.8,2016,Experimental
747,6.4,2016,Rap
748,8.1,2016,Folk/Country
749,6.0,2016,Experimental
750,7.6,2016,Rock
751,7.7,2016,Rock
752,7.7,2016,Experimental
753,6.8,2016,Rock
754,6.8,2016,Rock
755,8.1,2016,Electronic
756,7.8,2016,Pop/R&B
757,8.0,2016,Rap
758,7.5,2016,Metal
759,7.5,2016,Electronic
760,7.8,2016,Rock
761,7.8,2016,Metal
762,8.0,2016,Experimental
763,7.0,2016,Rock
764,7.5,2016,Pop/R&B
765,5.0,2016,Pop/R&B
766,6.8,2016,Rock
767,6.8,2016,Electronic
768,7.2,2016,Electronic
769,6.0,2016,Rock
770,7.9,2016,Pop/R&B
771,8.4,2016,Rock
772,7.1,2016,Rock
773,7.8,2016,Pop/R&B
774,6.1,2015,Rock
775,8.2,2016,Experimental
776,7.0,2016,Rap
777,7.0,2016,Experimental
778,7.6,2016,Rock
779,6.5,2016,Pop/R&B
780,7.8,2010,Pop/R&B
781,7.5,2016,Electronic
782,7.2,2016,Rock
783,7.8,2016,Rock
784,8.0,2016,Jazz
785,8.3,2016,Pop/R&B
786,5.4,2016,Rock
787,5.4,2016,Electronic
788,5.6,2016,Rock
789,7.2,2016,Rock
790,7.0,2016,Rock
791,7.9,2016,Electronic
792,6.9,2016,Electronic
793,7.8,2016,Rock
794,7.8,2016,Metal
795,5.9,2016,Rock
796,5.9,2016,Electronic
797,8.5,2016,Rock
798,7.2,2016,Rock
799,7.1,2016,Rap
800,7.8,2016,Electronic
801,7.2,2016,Rock
802,7.2,2016,Pop/R&B
803,7.2,2016,Folk/Country
804,7.4,2016,Rap
805,7.1,2016,Pop/R&B
806,7.5,2016,Rock
807,6.2,2016,Rock
808,7.9,2016,Rap
809,6.8,2016,Electronic
810,7.7,2016,Folk/Country
811,6.7,2016,Pop/R&B
812,6.7,2016,Electronic
813,5.9,2016,Pop/R&B
814,7.1,2016,Electronic
815,4.5,2016,Rap
816,8.5,2016,Electronic
817,8.0,2016,Rock
818,7.0,2016,Electronic
819,7.2,2016,Rap
820,8.2,2016,Jazz
821,8.2,2016,Experimental
822,6.9,2016,Electronic
823,8.8,2016,Electronic
824,8.4,2016,Metal
825,8.1,2016,Electronic
826,6.0,2016,Electronic
827,5.1,2016,Experimental
828,8.2,2016,Rap
829,6.9,2016,Rock
830,7.7,2016,Rap
831,7.0,2016,Folk/Country
832,8.2,2016,Experimental
833,8.2,2016,Electronic
834,8.5,2016,Jazz
835,4.5,2016,Pop/R&B
836,7.3,2016,Electronic
837,7.3,2016,Rap
838,5.9,2016,Pop/R&B
839,6.2,2016,Rap
840,6.1,2016,Rock
841,6.3,2016,Pop/R&B
842,7.6,2016,Metal
843,7.0,2016,Rock
844,5.9,2016,Pop/R&B
845,5.7,2016,Rock
846,5.7,2016,Metal
847,5.7,2016,Experimental
848,8.0,2016,Rock
849,7.3,2016,Rap
850,7.9,2016,Folk/Country
851,7.9,2016,Experimental
852,6.2,2016,Experimental
853,6.2,2016,Electronic
854,7.0,2016,Rock
855,6.8,2016,Rock
856,7.0,2016,Metal
857,6.0,2016,Rock
858,4.8,2016,Rap
859,7.7,2016,Rock
860,7.7,2016,Experimental
861,5.8,2016,Rock
862,7.2,2016,Rap
863,7.0,2016,Electronic
864,8.1,2016,Electronic
865,7.7,2016,Metal
866,6.3,2016,Rap
867,5.9,2016,Rock
868,6.0,2016,Experimental
869,8.3,2016,Rock
870,7.1,2016,Electronic
871,7.7,2016,Global
872,7.7,2016,Electronic
873,7.8,2016,Rock
874,7.0,2016,Experimental
875,8.0,2016,Electronic
876,6.6,2016,Pop/R&B
877,5.9,2016,Rock
878,7.6,2016,Rock
879,6.7,2016,Rock
880,6.9,2016,Rock
881,7.3,2016,Electronic
882,6.2,2016,Electronic
883,7.6,2016,Rock
884,6.4,2016,Rock
885,7.8,2016,Experimental
886,6.8,2016,Rap
887,6.5,2016,Rock
888,6.9,2016,Rock
889,5.5,2016,Electronic
890,8.6,2016,Rap
891,6.6,2016,Rock
892,6.9,2016,Rap
893,7.1,2016,Rock
894,6.6,2016,Rock
895,8.4,2016,Experimental
896,6.8,2016,Electronic
897,8.0,2016,Rock
898,5.0,2016,Rock
899,7.8,2016,Experimental
900,8.6,2016,Jazz
901,6.2,2016,Electronic
902,6.9,2016,Experimental
903,7.4,2016,Global
904,6.0,2016,Rock
905,8.0,2016,Folk/Country
906,4.6,2016,Rock
907,7.7,2016,Folk/Country
908,7.6,2016,Electronic
909,7.9,2016,Metal
910,7.8,2016,Electronic
911,6.7,2016,Rock
912,7.4,2016,Rap
913,7.8,2016,Electronic
914,6.5,2016,Rock
915,8.1,2016,Electronic
916,4.9,2016,Rock
917,4.9,2016,Rap
918,7.7,2016,Rock
919,6.5,2016,Global
920,6.5,2016,Electronic
921,8.5,2012,Rock
922,7.0,2016,Rap
923,5.2,2016,Rock
924,7.5,2016,Electronic
925,5.1,2016,Rap
926,7.8,2016,Rock
927,6.5,2016,Rock
928,6.9,2016,Electronic
929,6.6,2016,Experimental
930,6.5,2016,Rock
931,7.6,2016,Rap
932,6.8,2016,Electronic
933,7.9,2016,Rap
934,6.7,2016,Rock
935,7.1,2016,Rap
936,6.5,2016,Electronic
937,6.8,2016,Pop/R&B
938,6.6,2016,Rap
939,7.4,2016,Rock
940,6.8,2016,Rock
941,7.9,2016,Electronic
942,8.0,2016,Rock
943,6.8,2016,Pop/R&B
944,7.0,2016,Rock
945,7.4,2016,Electronic
946,7.5,2016,Rock
947,7.5,2016,Folk/Country
948,7.5,2016,Metal
949,8.0,2016,Pop/R&B
950,6.8,2016,Rock
951,8.1,2016,Experimental
952,7.5,2016,Experimental
953,6.5,2016,Rock
954,7.8,2016,Electronic
955,7.4,2016,Pop/R&B
956,5.6,2016,Rock
957,7.3,2016,Rock
958,8.4,2016,Electronic
959,7.0,2016,Rock
960,5.8,2016,Rap
961,7.5,2016,Electronic
962,6.2,2016,Rock
963,6.2,2016,Experimental
964,7.9,2016,Global
965,7.9,2016,Electronic
966,7.0,2016,Rock
967,5.8,2016,Global
968,7.8,2016,Rap
969,9.0,2016,Rap
970,6.8,2016,Folk/Country
971,7.8,2016,Electronic
972,7.7,2016,Experimental
973,7.4,2016,Rock
974,5.1,2016,Rap
975,7.6,2016,Rap
976,6.9,2016,Rock
977,6.9,2016,Rock
978,7.5,2016,Electronic
979,7.3,2016,Rap
980,7.9,2016,Rock
981,7.4,2016,Rap
982,5.8,2016,Pop/R&B
983,7.2,2016,Folk/Country
984,7.3,2016,Rock
985,8.0,2016,Rock
986,6.8,2016,Rap
987,7.9,2016,Metal
988,7.6,2016,Rap
989,8.1,2016,Rock
990,7.5,2016,Electronic
991,7.5,2016,Jazz
992,4.9,2016,Pop/R&B
993,8.3,2016,Rock
994,8.1,2016,Rap
995,7.9,2016,Rock
996,6.4,2016,Global
997,6.4,2016,Folk/Country
998,7.7,2016,Electronic
999,7.0,2016,Electronic
1000,6.2,2016,Electronic
1001,7.8,2016,Rock
1002,8.0,2016,Rock
1003,7.0,2016,Electronic
1004,8.5,2016,Rap
1005,8.0,2016,Rock
1006,8.0,2016,Electronic
1007,6.7,2016,Electronic
1008,5.5,2016,Electronic
